Word,Pronunciation (RU),Translation,Example EN,Example RU,Level
deliberate,dиlиbи́rэtи,преднамеренный,It is now time for the jury to deliberate the guilt of the defendant.,"Пришло время, чтобы присяжные продумали вину подсудимого.",C1
deliberation,dиlиbи́rэtи,обсуждение,The deliberations of a legislative body or council,Обсуждения законодательного органа или совета,C1
polish,pоĺиш,лак,A good silver polish will remove tarnish easily.,Хороший серебряный лак легко удалит тусюю.,B1
external,иксtи́rnэl,внешний,This building has some external pipework.,Это здание имеет некоторую внешнюю трубопровод.,B2
internal,иntиŕnэl,внутренний,We saw the internal compartments.,Мы видели внутренние отсеки.,B2
internalize,иntиrńэlиz,усвоить,They decided to internalize the situation carefully.,Они решили тщательно усвоить ситуацию.,C1
show off,шово́ff,выпендриваться,Grocery stores show off their produce by placing the most attractive specimens in front.,"Продуктовые магазины демонстрируют свои продукты, размещая наиболее привлекательные образцы впереди.",B2
bunch,bуńч,связка,A bunch of grapes;  a bunch of bananas;  a bunch of keys;  a bunch of yobs on a street corner,Куча винограда;  куча бананов;  куча ключей;  куча ЙОБ на углу улицы,A2
swing,sви́ng,качать,Door swing indicates direction the door opens.,"Дверной качание указывает направление, которое открывается дверь.",A2
scholar,sчоĺэr,ученый,Modern scholar has many applications.,Современный ученый имеет много применений.,B1
scholarship,sчоlэ́rши,стипендия,The scholarship played an important role in the project.,Стипендия сыграла важную роль в проекте.,C1
steam,stи́эm,пар,After three weeks in bed he was finally able to sit up under his own steam.,Через три недели в постели он наконец смог сесть под собственный пара.,A2
steamy,stиэ́mй,парие,My glasses fogged up when i walked into the steamy room.,"Мои очки запотелись, когда я вошел в парную комнату.",B1
steamship,stиэḿшиp,пароход,Understanding steamship is essential for success.,Понимание парохода важно для успеха.,B2
helpless,hиlpĺиss,беспомощный,A helpless urge,Беспомощное желание,B2
helplessness,hиlplи́ssnи,беспомощность,Understanding helplessness is essential for success.,Понимание беспомощности необходимо для успеха.,C1
universe,уnиvи́rsи,вселенная,Powerful telescopes look far back into the distant reaches of the universe.,Мощные телескопы смотрят далеко назад в отдаленные достижения вселенной.,B2
universal,уnиvи́rsэl,универсальный,She achieved universal fame.,Она достигла универсальной славы.,B2
fellow,fиlĺов,парень,Roger and his fellow workers are to go on strike.,Роджер и его коллеги -работники должны нанести удар.,B1
stage,stэ́gи,этап,Completion of an identifiable stage of maintenance such as removing an aircraft engine for repair or storage.,"Завершение идентифицируемой стадии технического обслуживания, такой как удаление самолета для ремонта или хранения.",A2
offstage,оffst́эgи,за кулисами,Understanding offstage is essential for success.,Понимание за сценой необходимо для успеха.,B2
backstage,bэckśtэgи,за кулисами,Modern backstage has many applications.,У современного закулисного есть много приложений.,B2
correspond,cоrrиśpоnd,соответствовать,I've been corresponding with my german pen pal for three years.,Я переписывался со своим немецким приятелем в течение трех лет.,C1
correspondence,cоrrиśpоnd,переписка,Modern correspondence has many applications.,Современная переписка имеет много применений.,C1
boarding,bоэrd́иng,посадка,It's important to boarding properly in this case.,В этом случае это важно для правильного посадки.,B2
look at,lооḱэt,посмотрите на,Modern look at has many applications.,Современный взгляд на много применений.,B1
interpret,иntиŕprиt,интерпретация,To interpret an indian speech,Интерпретировать индийскую речь,B2
interpretation,иntиrṕrиtэ,интерпретация,"The interpretation of a dream, or of an enigma.",Интерпретация мечты или загадки.,C1
misinterpret,mиsиnt́иrpr,неверно истолковывать,Modern misinterpret has many applications.,Современное неверное толку имеет много приложений.,C1
brush,brу́ш,щетка,She gave her hair a quick brush.,Она быстро принесла свои волосы.,A2
thrill,сrи́ll,трепет,The concept of thrill is interesting.,Концепция острых ощущений интересна.,B1
thrilling,сrиlĺиng,захватывающий,We need to thrilling before making a decision.,"Нам нужно захватывать, прежде чем принять решение.",B2
sell out of,sиllо́уtоf,продавать,The concept of sell out of is interesting.,Концепция продажи интересна.,C1
assist,эssи́st,помощь,The foundation gave a much needed assist to the shelter.,Фонд дал очень необходимую помощь в укрытие.,B1
assistance,эssиst́эncи,помощь,Modern assistance has many applications.,Современная помощь имеет много приложений.,C1
assistant,эssиśtэnt,помощник,An assistant surgeon,Помощник хирурга,B2
shop assistant,шоpэśsиst,магазин помощника,Modern shop assistant has many applications.,У современного магазина есть много заявлений.,C1
part,pэŕt,часть,To do one’s part,Сделать свою роль,A2
draft,drэ́ft,черновик,She took a deep draft from the bottle of water.,Она взяла глубокий набросок из бутылки воды.,A2
desire,dиsи́rи,желание,It is my desire to speak with you.,Это мое желание поговорить с вами.,B1
desirable,dиsиŕэblи,желательно,There are plenty of desirables on display in the window.,В окне есть много желаемых.,B2
undesirable,уndиsи́rэbl,нежелательно,This approach is quite undesirable for our needs.,Этот подход довольно нежелатель для наших потребностей.,C1
eliminate,иlиmи́nэtи,устранять,A ruthless mobster who eliminated his enemies,"Безжалостный бандитель, который устранил своих врагов",B2
elimination,иlиmиńэtио,Устранение,The concept of elimination is interesting.,Концепция устранения интересна.,C1
fly,fĺй,летать,They approached the problem fly.,Они подошли к проблеме.,A1
dragonfly,drэgо́nflй,дракона,She handled the situation dragonfly.,"Она справилась с ситуацией, дракона.",B2
try out,trйо́уt,проверять,"If you want to play varsity, you'll have to try out for the team.","Если вы хотите играть в университет, вам придется попробовать для команды.",B1
distinguish,dиstиńgуиs,различать,The soldier distinguished himself in combat and received a medal.,Солдат отличился в бою и получил медаль.,C1
distinguishable,dиstиńgуиs,различим,Black is very distinguishable against a white background,Черный очень отличается от белого фона,C1
indistinguishable,иndиst́иngу,неразличимый,Any sufficiently advanced technology is indistinguishable from magic — arthur c. clarke https//en.wikipedia.org/clarke's_three_laws,Любая достаточно продвинутая технология неразличима от магии - Артур c. Clarke https // en.wikipedia.org/clarke's_three_laws,C1
legislation,lиgиsĺэtио,законодательство,Modern legislation has many applications.,Современное законодательство имеет много приложений.,C1
legislature,lиgиsĺэtуr,законодательный орган,Modern legislature has many applications.,Современное законодательное собрание имеет много приложений.,C1
legislate,lиgиślэtи,законодатель,They decided to legislate the situation carefully.,Они решили тщательно заменить ситуацию.,B2
legislator,lиgиsĺэtоr,законодатель,The concept of legislator is interesting.,Концепция законодателя интересна.,C1
legislative,lиgиsĺэtиv,законодательный,"Although enormously influential in shaping the laws of the land, the house of lords are not actually a legislative body.","Несмотря на то, что Палата лордов очень влияет на формирование законов земли, на самом деле не является законодательным органом.",C1
simple,sиmṕlи,простой,The simple played an important role in the project.,Просто сыграли важную роль в проекте.,B1
simplicity,sиmplи́cиtй,простота,Understanding simplicity is essential for success.,Понимание простоты необходимо для успеха.,C1
simplify,sиmpĺиfй,упрощать,The concept of simplify is interesting.,Концепция упрощения интересна.,B2
simplification,sиmplи́fиcэ,упрощение,The simplification played an important role in the project.,Упрощение сыграло важную роль в проекте.,C1
exit,икс́иt,Выход,He made his exit at the opportune time.,Он сделал свой выход в подходящее время.,A2
speak out,spиэḱоуt,высказываться,You should learn to speak out in meetings with your boss.,Вы должны научиться выступать на встречах со своим боссом.,B2
ski,sḱи,лыж,The concept of ski is interesting.,Концепция лыжи интересна.,A1
devastate,dиvэśtэtи,опустошить,They decided to devastate the situation carefully.,Они решили осторожно опустошить ситуацию.,B2
devastation,dиvэst́эtио,опустошение,The devastation played an important role in the project.,Разрушение сыграло важную роль в проекте.,C1
see to,sии́tо,Смотрите на,"Mark, please see to mrs. landingham and make sure she has everything she needs.","Марк, пожалуйста, посмотрите на миссис. Ландингем и убедитесь, что у нее есть все, что ей нужно.",B1
head for,hиэd́fоr,направляйтесь к,The concept of head for is interesting.,Концепция головы интересна.,B2
tank,tэńk,бак,I burned three tanks of gas on the drive to new york.,Я сжег три резервуара газа по дороге в Нью -Йорк.,A2
ultimate,уltиḿэtи,окончательный,The ultimate disappointment,Конечное разочарование,B2
ultimately,уltиmэ́tиlй,в конечном счете,"Firstly,… secondly,… ultimately,…","Во -первых, ... во -вторых, ... в конечном итоге ...",C1
sensitive,sиnsи́tиvи,чувствительный,Max is very sensitive; he cried today because of the bad news.,Макс очень чувствителен; Он плакал сегодня из -за плохих новостей.,B2
sensitivity,sиnsиt́иvиt,чувствительность,The concept of sensitivity is interesting.,Концепция чувствительности интересна.,C1
insensitive,иnsиnśиtиv,нечувствительный,This approach is quite insensitive for our needs.,Этот подход довольно нечувствителен для наших потребностей.,C1
insensitivity,иnsиnśиtиv,нечувствительность,The insensitivity played an important role in the project.,Нечувствительность сыграла важную роль в проекте.,C1
give birth to,gиvиb́иrсt,родить,Modern give birth to has many applications.,Современное рождение имеет много применений.,C1
guess,gуи́ss,предполагать,He who guesses the riddle shall have the ring.,"Тот, кто угадывает, что загадка будет иметь кольцо.",A2
recruit,rиcŕуиt,рекрут,These new recruits were hired after passing the interviews,Эти новобранцы были наняты после прохождения интервью,B1
recruitment,rиcrуи́tmиn,набор,Understanding recruitment is essential for success.,Понимание найма необходимо для успеха.,C1
future,fуtу́rи,будущее,There is no future in dwelling on the past.,В прошлом нет будущего.,B1
harsh,hэŕш,жесткий,"Quit harshing me already, i said that i was sorry!","Отказался от того, что я уже суровался, я сказал, что мне жаль!",A2
harshness,hэrшńиss,резкость,Modern harshness has many applications.,Современная суровость имеет много применений.,B2
desperate,dиspи́rэtи,отчаянный,I hadn't eaten in two days and was desperate for food.,Я не ел два дня и отчаянно нуждался в еде.,B2
desperation,dиspиŕэtио,отчаяние,The concept of desperation is interesting.,Концепция отчаяния интересна.,C1
enrol,иnŕоl,зарегистрироваться,They were eager to enroll new recruits.,Они стремились зарегистрировать новых новобранцев.,A2
enrolment,иnrоĺmиnt,зачисление,Understanding enrolment is essential for success.,Понимание регистрации необходимо для успеха.,B2
excuse,иксćуsи,извинение,Tell me why you were late – and i don't want to hear any excuses!,"Скажите мне, почему вы опоздали - и я не хочу слышать никаких оправданий!",B1
excusable,иксcуśэblи,оправдываемое,The results were surprisingly excusable.,Результаты были на удивление оправданными.,B2
inexcusable,иnиксćуsэbl,непростительно,This approach is quite inexcusable for our needs.,Этот подход довольно непростителен для наших потребностей.,C1
patrol,pэtŕоl,патруль,A customs patrol,Таможенный патруль,B1
estimate,иstиḿэtи,оценивать,It's important to estimate properly in this case.,В этом случае важно оценить должным образом.,B2
estimation,иstиmэ́tиоn,оценка,Understanding estimation is essential for success.,Понимание оценки необходимо для успеха.,C1
underestimate,уndиrи́stиm,недооценивать,They decided to underestimate the situation carefully.,Они решили тщательно недооценить ситуацию.,C1
overestimate,оvиrиśtиmэ,переоценить,"I overestimated the number of attendees, and bought far too much food for the party.",Я переоценил количество посетителей и купил слишком много еды для вечеринки.,C1
shrug,шrу́g,пожимает плечами,He dismissed my comment with a shrug.,Он отклонил мой комментарий с плечами.,A2
attack,эttэ́ck,атака,They claimed the censorship of the article was an attack on free speech.,"Они утверждали, что цензура статьи была атакой на свободу слова.",B1
interrupt,иntиŕrуpt,прерывать,The interrupt caused the packet handler routine to run.,Прерывание вызвало запуск рутины пакетов.,B2
interruption,иntиrŕуptи,прерывание,Understanding interruption is essential for success.,Понимание прерывания необходимо для успеха.,C1
uninterrupted,уnиntи́rrуp,непрерывно,It's important to uninterrupted properly in this case.,В этом случае важно правильно непрерывно.,C1
delight,dиlи́ght,восторг,A beautiful landscape delights the eye.,Красивый пейзаж восхищает глаз.,B1
delightful,dиlиgh́tfуl,восхитительный,Her response was delightful and thoughtful.,Ее ответ был восхитительным и вдумчивым.,C1
creep,crи́иp,слизняк,The creep played an important role in the project.,Крип сыграл важную роль в проекте.,A2
discover,dиscо́vиr,обнаружить,"Turning the corner, i discovered a lovely little shop. i discovered that they sold widgets.","Повернув за угол, я обнаружил прекрасный маленький магазин. Я обнаружил, что они продали виджеты.",B2
discovery,dиscо́vиrй,Открытие,This latest discovery should eventually lead to much better treatments for disease.,Это последнее открытие должно в конечном итоге привести к гораздо лучшему лечению болезней.,B2
height,hииǵht,высота,She's at the height of her career.,Она в разгар своей карьеры.,B1
heighten,hииgh́tиn,повысить,To heighten a flavor or a tint,Чтобы усилить аромат или оттенок,B2
nutrition,nуtrи́tиоn,питание,The concept of nutrition is interesting.,Концепция питания интересна.,B2
nutritionist,nуtrиt́иоnи,диетолог,Understanding nutritionist is essential for success.,Понимание диетолога необходимо для успеха.,C1
bring out,brиnǵоуt,вывести,The bring out played an important role in the project.,Привлечение сыграло важную роль в проекте.,B2
roll out,rоlĺоуt,посадочная дистанция,We plan to roll out the new version in september.,Мы планируем развернуть новую версию в сентябре.,B2
drills,drиĺls,тренировки,Regular fire drills can ensure that everyone knows how to exit safely in an emergency.,"Регулярные пожарные упражнения могут гарантировать, что все знают, как безопасно выйти в чрезвычайную ситуацию.",B1
mood,mоо́d,настроение,I've been in a bad mood since i dumped my boyfriend.,"У меня плохое настроение, так как я бросил своего парня.",A2
moody,mоо́dй,капризный,Modern moody has many applications.,Modern Moody имеет много применений.,A2
moody 2,mооd́й2,Муди 2,Understanding moody 2 is essential for success.,Понимание Moody 2 необходимо для успеха.,B1
flesh,flи́ш,плоть,Modern flesh has many applications.,Современная плоть имеет много применений.,A2
develop,dиvи́lоp,развивать,Let's see how things develop and then make our decision.,"Давайте посмотрим, как все развивается, а затем примет наше решение.",B1
development,dиvиlо́pmиn,разработка,The development of this story has been slow.,Развитие этой истории было медленным.,C1
lot,lо́t,много,Lots of people think so,Многие так думают,A1
lottery,lоtt́иrй,лотерея,The concept of lottery is interesting.,Концепция лотереи интересна.,B1
buy,bу́й,купить,"At only $30, the second-hand kitchen table was a great buy.","Всего за 30 долларов, кухонный стол второго рук был отличной покупкой.",A1
last,lэśt,последний,“eyes wide shut” was the last film to be directed by stanley kubrick.,"«Глаза широко закрыты» был последним фильмом, снятым Стэнли Кубриком.",A2
lasting,lэst́иng,длительный,After world war i it was hoped that a lasting peace had been achieved. it hadn’t.,"После Первой мировой войны надеялись, что был достигнут длительный мир. Это не было.",B1
everlasting,иvиrlэ́stиn,вечный,This everlasting nonsense,Эта вечная чушь,C1
stand out,stэnd́оуt,выделяться,Tourist guides often carry umbrellas so that they stand out in a crowd.,"Туристические гиды часто несут зонтики, чтобы они выделялись в толпе.",B2
tent,tиńt,палатка,We were camping in a three-man tent.,Мы были в лагере в палатке из трех человек.,A2
ride,rиd́и,поездка,Can i have a ride on your bike?,Могу я прокатиться на вашем велосипеде?,A2
long for,lоnǵfоr,долго для,The concept of long for is interesting.,Концепция долгого для долгого времени интересна.,B2
longing,lоnǵиng,тоска,They decided to longing the situation carefully.,Они решили осторожно то же самое.,B1
fairness,fэиrńиss,справедливость,Some questioned the fairness of the new laws.,Некоторые подвергли сомнению справедливость новых законов.,B2
unfair,уnfэ́иr,несправедливый,It was unfair for the boss to give larger bonuses to his friends.,Для босса было несправедливо отдать большие бонусы своим друзьям.,B1
gender,gиnd́иr,пол,"The effect of the medication is dependent upon age, gender, and other factors.","Эффект лекарства зависит от возраста, пола и других факторов.",B1
journey,jоуŕnий,путешествие,My journey of dealing with grief,Мое путешествие по борьбе с горем,B1
spy,sṕй,шпион,"During the cold war, russia and america would each spy on each other for recon.",Во время холодной войны Россия и Америка будут шпионить друг за другом за повторным.,A1
espionage,иspио́nэgи,шпионаж,Understanding espionage is essential for success.,Понимание шпионажа имеет важное значение для успеха.,B2
ask out,эskо́уt,спросить,Understanding ask out is essential for success.,Понимание спрашивания имеет важное значение для успеха.,B1
take out,tэkи́оуt,выиграть,The soldiers were instructed to take out the enemy base by any means necessary.,Солдатам было поручено вывести вражескую базу любыми необходимыми средствами.,B2
go out,gоо́уt,выходить,Please go out through the back door.,"Пожалуйста, выйдите через заднюю дверь.",B1
incapacity,иncэpэ́cиtй,Неспособность,Understanding incapacity is essential for success.,Понимание неспособности необходимо для успеха.,C1
wine,виńи,вино,She ordered some wine for the meal.,Она заказала немного вина для еды.,A2
winery,виnи́rй,Винодельня,The winery played an important role in the project.,Винодельня сыграла важную роль в проекте.,B1
put together,pуttо́gиси,собрать вместе,"If you try to put together the model kit yourself, be very careful not to break any of the pieces.","Если вы попытаетесь собрать модельный комплект самостоятельно, будьте очень осторожны, чтобы не сломать ни одну из частей.",C1
piece together,pииcиt́оgиt,кусок вместе,The piece together played an important role in the project.,Произведение вместе сыграло важную роль в проекте.,C1
fit together,fиttо́gиси,сочетаться друг с другом,The fit together played an important role in the project.,Соединение сыграло важную роль в проекте.,C1
figure out,fиgуŕиоуt,понимать,"As soon as i figure out what is wrong with my car, i will fix it.","Как только я выясню, что не так с моей машиной, я исправлю это.",C1
sort out,sоrt́оуt,разбираться,Could you call dave and sort out a meeting for tomorrow?,Не могли бы вы позвонить Дейву и разобраться на встрече на завтра?,B2
responsible,rиspоńsиbl,ответственный,Parents are responsible for their child's behaviour.,Родители несут ответственность за поведение своего ребенка.,C1
irresponsible,иrrиsṕоnsи,безответственный,The concept of irresponsible is interesting.,Концепция безответственного интересна.,C1
responsibility,rиspоńsиbи,ответственность,Responsibility is a heavy burden.,Ответственность - это тяжелое бремя.,C1
switch,sви́tч,выключатель,Use the /b switch to specify black-and-white printing.,"Используйте переключатель /b, чтобы указать черно-белую печать.",B1
cancel,cэnćиl,отмена,He cancelled his order on their website.,Он отменил свой заказ на их веб -сайте.,B1
cancellation,cэncиĺlэtи,отмена,The concept of cancellation is interesting.,Концепция отмены интересна.,C1
scratch,scrэ́tч,царапать,Her skin was covered with tiny scratches.,Ее кожа была покрыта крошечными царапинами.,B1
source,sоуŕcи,источник,The accused refused to reveal the source of the illegal drugs she was selling.,"Обвиняемый отказался раскрыть источник нелегальных наркотиков, которые она продавала.",B1
sheet,шии́t,лист,Use the sheets in the hall closet to make the bed.,"Используйте листы в шкафу в холле, чтобы приготовить кровать.",A2
manage,mэnэ́gи,управлять,He managed to climb the tower.,Ему удалось подняться на башню.,B1
management,mэnэgи́mиnt,управление,Excellent time management helped her succeed in all facets of her life.,Отличное управление временем помогло ей добиться успеха во всех аспектах ее жизни.,C1
manage to,mэnэǵиtо,удается,The concept of manage to is interesting.,Концепция управления интересной.,B2
manage without,mэnэǵивис,управлять без,The concept of manage without is interesting.,Концепция управления без интереса.,C1
corner,cоrńиr,угол,The corners of the wire mesh were reinforced with little blobs of solder.,Уголки проволочной сетки были усилены небольшими каплями припоя.,B1
cornered,cоrnи́rиd,загнанный в угол,The cat had cornered a cricket between the sofa and the television stand.,Кошка загнала в угол крикет между диваном и телевизионным стендом.,B2
fright,frиǵht,испугать,Modern fright has many applications.,Современный страх имеет много применений.,B1
frighten,frиgh́tиn,напуган,"Avery puts a sheet over her head, pretending to be a ghost to frighten emily.","Эйвери накладывает лист на голову, притворяясь призраком, чтобы напугать Эмили.",B2
frightful,frиgh́tfуl,ужасно,Her response was frightful and thoughtful.,Ее ответ был страшным и вдумчивым.,B2
stable,stэb́lи,стабильный,There were stalls for fourteen horses in the squire's stables.,В конюшнях Сквайра были киоски для четырнадцати лошадей.,B1
unstable,уnstэ́blи,нестабильный,The solution proved to be very unstable.,Решение оказалось очень нестабильным.,B2
stability,stэbи́lиtй,стабильность,Modern stability has many applications.,Современная стабильность имеет много применений.,B2
instability,иnstэb́иlиt,нестабильность,Understanding instability is essential for success.,Понимание нестабильности необходимо для успеха.,C1
stabilise,stэbи́lиsи,стабилизировать,It's important to stabilise properly in this case.,В этом случае важно должным образом стабилизировать.,B2
occur to,оccу́rtо,возникают,The concept of occur to is interesting.,Концепция возникновения интересна.,B2
associate,эssоćиэtи,ассоциирован,She associates with her coworkers on weekends.,Она ассоциируется со своими коллегами по выходным.,B2
apparent,эppэŕиnt,очевидный,Understanding apparent is essential for success.,Понимание очевидного необходимо для успеха.,B2
apparently,эppэrи́ntlй,видимо,"A man may be apparently friendly, yet malicious in heart.","Человек может быть, очевидно, дружелюбным, но злым в сердце.",C1
east,иэśt,восток,The east front of a cathedral,Восточный фронт собора,A2
eastern,иэst́иrn,восточный,Modern eastern has many applications.,Современный Восточный имеет много применений.,B1
survey,sуrv́ий,опрос,A survey of the stores of a ship; a survey of roads and bridges; a survey of buildings.,Обзор магазинов корабля; обзор дорог и мостов; Обзор зданий.,B1
bookstore,bооkśtоrи,книжный магазин,Understanding bookstore is essential for success.,Понимание книжного магазина необходимо для успеха.,B2
drugstore,drуgśtоrи,аптека,Understanding drugstore is essential for success.,Понимание аптеки необходимо для успеха.,B2
rid,rи́d,избавлять,We're trying to rid the world of poverty.,Мы пытаемся избавить мир от бедности.,A1
reception,rиcиṕtиоn,прием,The new system provides exceptional quality of the reception signal.,Новая система обеспечивает исключительное качество сигнала приема.,B2
receptionist,rиcиpt́иоnи,регистратор,The receptionist played an important role in the project.,Администратор сыграл важную роль в проекте.,C1
at all,эtэ́ll,совсем,Modern at all has many applications.,Современный вообще имеет много применений.,B1
suitable,sуиtэ́blи,подходящий,The results were surprisingly suitable.,Результаты были на удивление подходящими.,B2
unsuitable,уnsуиt́эblи,неподходящий,The results were surprisingly unsuitable.,Результаты были на удивление непригодными.,C1
constitute,cоnstи́tуtи,составляют,Understanding constitute is essential for success.,Понимание составляют необходимо для успеха.,C1
constituent,cоnstи́tуиn,составляющий,Understanding constituent is essential for success.,Понимание составляющей необходимо для успеха.,C1
go ahead,gоэh́иэd,"вперед, продолжать",Go ahead and eat without me. i expect to be very late.,"Иди вперед и есть без меня. Я ожидаю, что буду очень поздно.",B2
village,vиlĺэgи,деревня,There are 2 churches and 3 shops in our village.,В нашей деревне есть 2 церкви и 3 магазина.,B1
villager,vиllэ́gиr,деревенский житель,Modern villager has many applications.,Modern Villager имеет много применений.,B2
accord,эccо́rd,соглашение,The accord of light and shade in painting,Соглашение света и тени в живописи,B1
accordance,эccоrd́эncи,соответствие,The accordance played an important role in the project.,Соглашение сыграло важную роль в проекте.,C1
latter,lэtt́иr,последний,Understanding latter is essential for success.,Понимание последнего необходимо для успеха.,B1
pine,pиńи,сосна,The northern slopes were covered mainly in pine.,Северные склоны были покрыты в основном в сосне.,A2
wipe,виṕи,вытирать,Multiple wipes of a computer's hard disk,Многочисленные салфетки на жесткий диск компьютера,A2
clue,clу́и,зацепка,"The crossword compiler wasn't sure how to clue the word ""should"".","Компилятор кроссворда не был уверен, как подсказывать слово «должно».",A2
clueless,clуиĺиss,невежественный,This approach is quite clueless for our needs.,Этот подход довольно невежественен для наших потребностей.,B2
visit,vиśиt,посещать,The visit played an important role in the project.,Визит сыграл важную роль в проекте.,A2
visitor,vиsи́tоr,посетитель,The concept of visitor is interesting.,Концепция посетителя интересна.,B1
sensation,sиnsэ́tиоn,ощущение,Modern sensation has many applications.,Современное ощущение имеет много применений.,B2
discount,dиscо́уnt,скидка,"This store offers discounts on all its wares. that store specializes in discount wares, too.",Этот магазин предлагает скидки на все свои товары. Этот магазин также специализируется на скидках.,B2
torture,tоrt́уrи,пытка,In every war there are acts of torture that cause the world to shudder.,"В каждой войне есть акты пыток, которые заставляют мир вздрогнуть.",B1
guest,gуи́st,гость,The guests were let in by the butler.,Гостей был впущен дворецким.,A2
rear,rиэ́r,задний,The family has been rearing cattle for 200 years.,Семья собирает скот в течение 200 лет.,A2
degree,dиgŕии,степень,She has two bachelor's degrees and is studying towards a master's degree.,"У нее две степени бакалавра, и она учится на степень магистра.",B1
treat,trи́эt,обращаться,Here are some healthy halloween treats for ghouls and witches of all ages.,Вот несколько здоровых угощений на Хэллоуин для упырей и ведьм всех возрастов.,A2
treatment,trиэt́mиnt,уход,He still has nightmares resulting from the treatment he received from his captors.,"У него все еще есть кошмары в результате лечения, которое он получил от своих похитителей.",B2
mistreat,mиstŕиэt,плохое обращение,The mistreat played an important role in the project.,Плохое обращение сыграло важную роль в проекте.,B2
mistreatment,mиstrи́эtmи,плохое обращение,There were allegations of mistreatment at the prison.,Были обвинения в плохом обращении в тюрьме.,C1
assert,эssи́rt,утверждать,He would often assert that there was life on other planets.,"Он часто утверждал, что на других планетах была жизнь.",B1
assertion,эssиŕtиоn,утверждение,You're a man of strong assertions!,Ты человек с сильными утверждениями!,B2
snake,snэ́kи,змея,The path snaked through the forest.,Путь пробил по лесу.,A2
bone,bоńи,кость,To bone stays,К кости остается,A2
bony,bоńй,костюм,The concept of bony is interesting.,Концепция кости интересна.,A2
peer,pии́r,вглядеться,Modern peer has many applications.,Современный сверстник имеет много приложений.,A2
obtain,оbtэ́иn,получать,The obtain played an important role in the project.,Получение сыграло важную роль в проекте.,B1
entertain,иntиŕtэиn,развлекать,The motivational speaker not only instructed but also entertained the audience.,"Мотивационный оратор не только проинструктировал, но и развлекал аудиторию.",B2
entertainment,иntиrt́эиnm,развлечение,The concept of entertainment is interesting.,Концепция развлечения интересна.,C1
lobby,lоb́bй,лобби,I had to wait in the lobby for hours before seeing the doctor.,"Мне приходилось ждать в вестибюле часами, прежде чем обратиться к врачу.",A2
gamble,gэmb́lи,азартная игра,I had a gamble on the horses last weekend.,В прошлые выходные у меня была игра на лошадях.,B1
gambler,gэmb́lиr,игрок,The gambler played an important role in the project.,Игрок сыграл важную роль в проекте.,B1
via,vи́э,с помощью,The via played an important role in the project.,Виа сыграл важную роль в проекте.,A1
put out,pуtо́уt,выводить из себя,Jones recorded 15 put outs in the first half of the season.,Джонс записал 15 посадков в первой половине сезона.,B1
pretend,prиt́иnd,притворяться,"As children we used to go on ""spying"" missions around the neighbour's house, but it was all pretend.","Будучи детьми, мы привыкли идти на «шпионских» миссиях вокруг дома соседа, но все это было притворяться.",B1
pretense,prиtи́nsи,притворство,Under pretense of friendliness,Под предлогом дружелюбия,B2
date,dэt́и,дата,We made a nice cake from dates.,Мы сделали хороший торт из свиданий.,A2
local,lоćэl,местный,It's easy to tell the locals from the tourists.,Легко сообщить местным жителям туристов.,A2
locality,lоcэĺиtй,местность,Locality of trial,Местность испытания,B2
breath,brи́эс,дыхание,I could hear the breath of the runner behind me.,Я слышал дыхание бегуна позади меня.,B1
breathtaking,brиэс́tэkи,захватывает дух,He went to the grand canyon and spent a week taking in the breathtaking scenery all around him.,"Он пошел в Гранд -Каньон и провел неделю, заняв захватывающие дух пейзажи вокруг него.",C1
struggle,strуǵglи,борьба,"During the centuries, the people of ireland struggled constantly to assert their right to govern themselves.",В течение веков народ Ирландии постоянно пытался утверждать свое право управлять собой.,B2
outline,оуtĺиnи,контур,The outline of a speech,Схема речи,B1
interfere,иntиŕfиrи,вмешиваться,I always try not to interfere with other people’s personal affairs.,Я всегда стараюсь не мешать личным делам других людей.,B2
interference,иntиrf́иrиn,вмешательство,"They were glued to the tv, as the referee called out a fifteen yard penalty for interference.","Они были приклеены к телевизору, так как рефери вызвал пенальти пятнадцати ярдов за вмешательство.",C1
decade,dиcэ́dи,десятилетие,A decade of soldiers,Десятилетие солдат,B1
set smb back,sиtsmb́bэck,Установите SMB обратно,The set smb back played an important role in the project.,Набор SMB Back сыграл важную роль в проекте.,C1
setback,sиtb́эck,неудача,"After some initial setbacks, the expedition went safely on its way.",После некоторых первоначальных неудач экспедиция стала благополучно в пути.,B1
weapon,виэṕоn,оружие,The club that is now mostly used for golf was once a common weapon.,"Клуб, который сейчас в основном используется для гольфа, когда -то был обычным оружием.",B1
weaponry,виэpо́nrй,оружие,The concept of weaponry is interesting.,Концепция оружия интересна.,B2
member,mиmb́иr,член,The i-beams were to become structural members of a pedestrian bridge.,I-балки должны были стать структурными членами пешеходного моста.,B1
membership,mиmbи́rшиp,членство,He has memberships in clubs in three cities.,У него есть членство в клубах в трех городах.,C1
customer,cуstо́mиr,клиент,Every person who passes by is a potential customer.,"Каждый человек, который проходит мимо, является потенциальным клиентом.",B2
